ar,count,current_en,note,en
ليل,9,,no-evidence,
فريه,6,,no-evidence,
الثوم,5,,no-evidence,
الجاعوني,5,,no-evidence,
بربز,5,,no-evidence,
منقذ,5,,no-evidence,
دسوقي,4,,no-evidence,
مطريه,4,,no-evidence,
بادي,3,,no-evidence,
دحيل,3,,no-evidence,
سبيكه,3,,no-evidence,
صويلح,3,,no-evidence,
لبن,3,,no-evidence,
ابوفريه,2,,no-evidence,
اخريس,2,,no-evidence,
الداموني,2,,no-evidence,
السلال,2,,no-evidence,
الصبور,2,,no-evidence,
الغواش,2,,no-evidence,
الغوش,2,,no-evidence,
القطش,2,,no-evidence,
بوزو,2,,no-evidence,
جزريه,2,,no-evidence,
حريص,2,,no-evidence,
حناجره,2,,no-evidence,
حنوش,2,,no-evidence,
حوده,2,,no-evidence,
ريه,2,,no-evidence,
شاتيلا,2,,no-evidence,
ضرار,2,,no-evidence,
طباشه,2,,no-evidence,
طوق,2,,no-evidence,
عبادي,2,,no-evidence,
مهيمن,2,,no-evidence,
هديان,2,,no-evidence,
أردوغان,1,,no-evidence,
أسينه,1,,no-evidence,
أينورا,1,,no-evidence,
ابوزنيد,1,,no-evidence,
اجبيل,1,,no-evidence,
احيوات,1,,no-evidence,
احيوي,1,,no-evidence,
ادغيش,1,,no-evidence,
ارنستن,1,,no-evidence,
استيتيه,1,,no-evidence,
اشتيان,1,,no-evidence,
اشريقي,1,,no-evidence,
اشهب,1,,no-evidence,
اعبي,1,,no-evidence,
اعمير,1,,no-evidence,
اغديان,1,,no-evidence,
اقليم,1,,no-evidence,
الأيهم,1,,no-evidence,
الاله,1,,no-evidence,
البدر,1,,no-evidence,
البديع,1,,no-evidence,
البعاوي,1,,no-evidence,
البهداري,1,,no-evidence,
البياتي,1,,no-evidence,
التايه,1,,no-evidence,
التيان,1,,no-evidence,
الثاري,1,,no-evidence,
الجلاوي,1,,no-evidence,
الجميلي,1,,no-evidence,
الحفيط,1,,no-evidence,
الخربيش,1,,no-evidence,
الدبل,1,,no-evidence,
الدعس,1,,no-evidence,
الدوي,1,,no-evidence,
الرافع,1,,no-evidence,
